Times_s,X_m,Y_m,Z_m,U_mpers,V_mpers,W_m_s,tcr_pitch_rad,tcr_yaw_rad,pitch_rate_rad,yaw_rate_rad
132.953150028324,694953.44428688,6205131.23002054,1317948.51498696,-516.79461907874,-155.615379896447,-90.2812670705193,1.79522021468191,2.58601466688714,-0.00679128848838165,0.00258722197979239
135.975067068518,693401.41859372,6204680.41092184,1317693.53845989,-510.552833270737,-143.387077288251,-78.9364227719975,1.77214995291344,2.59322912936591,-0.00515664772255206,0.00136726089558688
138.867894293939,691932.353916069,6204275.14273924,1317476.38320808,-505.07735727008,-137.74388258538,-71.6840056966404,1.77084660866796,2.59460639453844,0.000425607139505321,0
141.624770234383,690548.597167545,6203904.40405419,1317288.41820926,-498.328148995192,-129.220319876863,-64.0371170145198,1.75664386030503,2.594065541364,-0.0098237915631107,1.9822580205563e-17
144.2391558798,689255.90270906,6203589.08691245,1317133.99152013,-490.808408433304,-111.413730359741,-53.9603569888246,1.72748916981644,2.59887230273313,-0.0131117500123561,0.00378494964608846
146.70485018951,688051.726274727,6203332.06722257,1317011.80828157,-486.343819748086,-98.3168750915408,-45.538183849278,1.68836219824953,2.60551055738422,-0.0174135848097388,2.26537264883878e-18
149.016004799457,686932.217371314,6203114.33201977,1316913.13775327,-482.146285335433,-90.3244867274512,-40.3872229712658,1.64747822480742,2.60277575981945,-0.0174532925199433,5.04595897890509e-18
151.167137892335,685900.080730663,6202927.83966589,1316829.22685351,-477.644567540604,-82.8726379513342,-37.7000190593452,1.62902410407623,2.61217440999837,0.00587477166270455,0.0094896416465562
153.153147197236,684954.396832627,6202771.83929061,1316757.67883783,-474.874244340082,-73.667918382512,-34.0009278862385,1.65134583448745,2.63983853347787,0.00386494372506244,0.0159840444815001
154.969322086974,684094.342046323,6202648.67121629,1316700.17832282,-471.955600305691,-60.8125999808025,-29.0898893305481,1.63101636924404,2.65659909293414,-0.0174532925199433,0
156.611354742334,683322.767646563,6202564.90409538,1316657.35274179,-467.560937040605,-39.0503675115225,-22.6274271029037,1.61301051922112,2.6575834309145,-0.00886681367967417,0.0092845165725682
158.075350351925,682641.564233726,6202527.35742045,1316629.48505836,-463.109558013188,-12.0064974665244,-15.4530434145448,1.5945414052315,2.68253601709435,-0.00896611459235946,0.0158203889051142
159.35783631136,682049.801333867,6202525.49423977,1316613.18940908,-459.850566543946,7.96485260797127,-10.2361343648991,1.59878592824319,2.68921479294746,0.00650763991144324,0
160.455770365757,681546.215391394,6202541.39247973,1316603.82751411,-457.535638387862,20.5657751659408,-6.96043715993605,1.58954089919726,2.69912105755563,-0.0174532925199433,0.0172451276127362
161.366547564705,681130.316219659,6202564.48269775,1316598.56207485,-455.749396165719,30.1665637659586,-4.60474785430738,1.58618809784356,2.70960418044707,0.00820469184260569,0.00311108191726113
162.088005566996,680802.031780585,6202589.10404063,1316595.93649054,-454.304361363619,38.1672679795324,-2.6614807131405,1.58343760307413,2.71471277605634,-0.0174532925199433,0.0174532925199433
162.618425875228,680561.340642559,6202610.95097621,1316594.90248766,-453.247925609058,44.1991266338409,-1.24712416526486,1.57948813435938,2.7256133351953,0.00729417022992627,0.015676309068838
162.956509211132,680408.21777064,6202626.5365995,1316594.62973377,-452.581290901832,47.9981428188866,-0.367165189761387,1.57916436022716,2.72848664611826,-0.0174532925199433,0.00550577136675275
163.100375241882,680343.127073116,6202633.55835012,1316594.60372594,-452.298273234552,49.617808928807,0.00493060507737835,1.57740143076834,2.7299303093223,0.00872664625997164,0.017154618629387
